Participant_id_A,Timepoint_A,Participant_id_B,Timepoint_B,AvgIdentity,TotalSNPs,dnadiff_report_path,dnadiff_sidecar_path,dnadiff_report_sha256,dnadiff_cache_signature,dnadiff_cache_status,dnadiff_version
120003,T1,20057,T2,99.9891,36,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T1__vs__20057__T2__192ad6e88f999675011cba98.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T1__vs__20057__T2__192ad6e88f999675011cba98.provenance.json,0f8d7f0d52edb0ce40cb01cd3e306b929d3d89ac26f366d9edae38cfb7da62eb,192ad6e88f999675011cba989e2543e753a49ed60fb2edda69bff8bc1a25e600,reused,dnadiff | DNAdiff version 1.3
140007,T1,130024,T3,99.9825,14,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/140007__T1__vs__130024__T3__b234454ab267c1ee6fda6323.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/140007__T1__vs__130024__T3__b234454ab267c1ee6fda6323.provenance.json,fba11fcd057566edc61a29957a020934313269de10a048b65087e144a0f736a5,b234454ab267c1ee6fda63239f0f0fa374e5c0080ec8cfedccbb7437040d29a0,reused,dnadiff | DNAdiff version 1.3
20040,T1,20028,T4,99.9898,22,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20040__T1__vs__20028__T4__f9c1189911f94d9bbb8c4d5c.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20040__T1__vs__20028__T4__f9c1189911f94d9bbb8c4d5c.provenance.json,a1b7c7184a3ba9924bb053868fad96a6d57f2c98459525d0f944f49e4651ac6b,f9c1189911f94d9bbb8c4d5c681ecc590c1ceeadf16593964f84739eef5b968c,reused,dnadiff | DNAdiff version 1.3
110056,T1,20072,T4,99.99,1,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110056__T1__vs__20072__T4__b96a7ee08099867667347f05.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110056__T1__vs__20072__T4__b96a7ee08099867667347f05.provenance.json,f7532ece5425096ec6208f5fba99750aae039f58285bb3f52e5722fc83f9a955,b96a7ee08099867667347f05e9da1d6b7ab876c6108d65ded18d8f5e66693802,reused,dnadiff | DNAdiff version 1.3
110056,T2,20072,T4,99.9902,0,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110056__T2__vs__20072__T4__6ff59e82eca4f6f77253c2fe.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/110056__T2__vs__20072__T4__6ff59e82eca4f6f77253c2fe.provenance.json,1f894660900ca270630e53e95670069655eea5488f450c8e790e11e94d91d655,6ff59e82eca4f6f77253c2fea9f8fa331f0067cfcade3bdef3be875ecc37ed1c,reused,dnadiff | DNAdiff version 1.3
20072,T4,110056,T5,99.99,5,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T4__vs__110056__T5__918a00be938921dddd7fc448.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T4__vs__110056__T5__918a00be938921dddd7fc448.provenance.json,787acd8eaf859d7a691fa4ffcecb0d4c9f2b8e73d5306dd5983c39db38e055ee,918a00be938921dddd7fc4481cb876cda0985e3aa386e1af2d03fa73f4db3480,reused,dnadiff | DNAdiff version 1.3
20072,T4,110056,T6,99.99,5,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T4__vs__110056__T6__b5f1c4d70a50a21ee36b9279.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20072__T4__vs__110056__T6__b5f1c4d70a50a21ee36b9279.provenance.json,06a00238947bb7d86d6a823aad65fd523cf562da9cca5bb6ae46135d1250d0ec,b5f1c4d70a50a21ee36b9279d432d46dc94573ded075a94e2fc2e1b520e4bb94,reused,dnadiff | DNAdiff version 1.3
60020,T1,62022,T3,99.99,4,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/60020__T1__vs__62022__T3__2358574f5cc65aa165de6c6a.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/60020__T1__vs__62022__T3__2358574f5cc65aa165de6c6a.provenance.json,bae308ef2b6eb7057e1709f684a156efb056a6b17d4e662b5e7a8cd852ba4361,2358574f5cc65aa165de6c6a2a72871ffb99a68f2618bfc822539a6b6eb30aba,reused,dnadiff | DNAdiff version 1.3
60020,T2,62022,T3,99.99,6,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/60020__T2__vs__62022__T3__f89a400801e41eec2f952ab4.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/60020__T2__vs__62022__T3__f89a400801e41eec2f952ab4.provenance.json,ac2fd627beb7bb157a9ddd9d32152cdf75d1b36ffef2231d309d43bf35731e10,f89a400801e41eec2f952ab463f4ac28c097725d051ef643b552dc0226e769f5,reused,dnadiff | DNAdiff version 1.3
31014,UTI-1,31035,T5,99.9895,8,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/31014__UTI-1__vs__31035__T5__95aaa61e140e92d10a83938b.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/31014__UTI-1__vs__31035__T5__95aaa61e140e92d10a83938b.provenance.json,88c975d6bd11eb8423b92b85aa672823bf522710432790a3d8bcf9cc8e32e08d,95aaa61e140e92d10a83938bd8b2471fc1267b1a3030e6a8926a0c3bc8401963,generated,dnadiff | DNAdiff version 1.3
120003,T2,20057,T2,99.9883,64,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T2__vs__20057__T2__510a2c3e28950c0b4ea1062d.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T2__vs__20057__T2__510a2c3e28950c0b4ea1062d.provenance.json,3e19615626bbcc4a70510f2590f829482f43cdd160ae582264c6e1eb804f43ae,510a2c3e28950c0b4ea1062db5656ab58643016b0ee7c6856475f8a6b79cc717,reused,dnadiff | DNAdiff version 1.3
120003,T2,61008,T3,99.988,48,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T2__vs__61008__T3__0c51c7e574a68c25a74b42f9.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/120003__T2__vs__61008__T3__0c51c7e574a68c25a74b42f9.provenance.json,a480d03521ca0029989bf27754e00cd8b3fb588add7a7a903e95abf67cb85f1d,0c51c7e574a68c25a74b42f97900e70534abc33f1c886e8526d3a992a93119fe,reused,dnadiff | DNAdiff version 1.3
100055,T0,100054,T1,99.9734,50,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/100055__T0__vs__100054__T1__5840ec132f3599d3d8f251a3.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/100055__T0__vs__100054__T1__5840ec132f3599d3d8f251a3.provenance.json,5ba8011466e050a180cec10bfaebc85dd9f8d555530ae0af99d2999b7f963b2a,5840ec132f3599d3d8f251a391c66b31ca315a601344b9b1295c259e9cdf5640,reused,dnadiff | DNAdiff version 1.3
20034,T2,140007,T2,99.9744,739,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20034__T2__vs__140007__T2__ecd64cd61c1bc291c0ac253a.report,/Users/Aamir/Desktop/rUTIs/outputs/nursing_home_candidate_clusters_20260717/direct_pairwise/dnadiff_cache_sha256_v1/20034__T2__vs__140007__T2__ecd64cd61c1bc291c0ac253a.provenance.json,845d3d5e392446cc1888c26a97b53611969b4688ca36d6808a9585151a9c5ee5,ecd64cd61c1bc291c0ac253a3b66b2ea6f20e9e92b427a78dd1e67c69da6e3e4,reused,dnadiff | DNAdiff version 1.3
